id,type,month,date,year
865,Drafted,3,29,18
866,Drafted,4,1,18
867,Drafted,4,22,18
868,Drafted,4,27,18
869,Drafted,4,27,18
870,Drafted,4,27,18
871,Drafted,4,6,18
872,Drafted,4,2,18
873,Drafted,4,2,18
874,Drafted,3,29,18
875,Drafted,4,1,18
876,Drafted,8,14,18
877,Drafted,8,5,18
878,Drafted,8,22,18
879,Drafted,8,22,18
880,Drafted,7,30,18
881,Drafted,7,8,18
882,Drafted,4,23,18
883,Drafted,8,3,18
884,Drafted,7,17,18
885,Drafted,6,21,18
886,Regular Army,2,8,15
887,Drafted,5,31,18
888,Drafted,5,17,18
889,Drafted,5,2,18
890,Drafted,4,27,18
891,Drafted,4,27,18
892,Drafted,6,20,18
893,Drafted,3,30,18
894,Volunteered,11,9,17
895,Drafted,8,2,18
896,Drafted,8,24,18
897,Drafted,7,11,18
898,Drafted,7,17,18
899,Drafted,9,6,18
900,Volunteered,NA,NA,NA
901,Volunteered,10,30,17
902,Drafted,5,12,18
903,Drafted,6,21,18
904,Drafted,12,22,17
905,Drafted,4,27,18
906,Drafted,4,29,18
907,Drafted,4,27,18
908,Drafted,3,31,18
909,Drafted,4,27,18
910,Drafted,5,2,18
911,Drafted,5,2,18
912,Drafted,7,30,18
913,Drafted,7,30,18
914,Drafted,8,1,18
915,Drafted,7,29,18
916,Drafted,4,16,18
917,Drafted,8,2,18
918,Drafted,8,5,18
919,Drafted,7,30,18
920,Drafted,8,22,18
921,Drafted,8,22,18
922,Drafted,7,30,18
923,Drafted,7,31,18
924,Drafted,8,3,18
925,Drafted,8,3,18
926,Drafted,8,21,18
927,Drafted,8,21,18
928,Drafted,8,24,18
929,Drafted,8,24,18
930,Drafted,7,28,18
931,Drafted,7,29,18
932,Drafted,8,24,18
933,Drafted,8,23,18
934,Regular Army,8,23,15
935,Drafted,8,21,18
936,Drafted,8,22,18
937,Drafted,7,22,18
938,Drafted,8,21,18
939,Drafted,8,23,18
940,Drafted,8,23,18
941,Drafted,7,18,18
942,Drafted,8,21,18
943,Drafted,5,29,18
944,Drafted,6,28,18
945,Drafted,7,16,18
946,Drafted,6,19,18
947,Drafted,6,18,18
948,Drafted,6,21,18
949,Drafted,6,20,18
950,Drafted,6,25,18
951,Drafted,7,19,18
952,Drafted,7,16,18
953,Drafted,4,27,18
954,Volunteered,12,1,17
955,Drafted,7,16,18
956,Drafted,4,25,18
957,Drafted,7,19,18
958,Drafted,7,19,18
959,Drafted,7,15,18
960,Drafted,7,18,18
961,Drafted,7,18,18
962,Drafted,7,18,18
963,Drafted,7,17,18
964,Drafted,7,18,18
965,Drafted,7,31,18
966,Drafted,7,17,18
967,Drafted,7,18,18
968,Drafted,7,28,18
969,Drafted,10,7,18
970,Drafted,6,19,18
971,Drafted,6,21,18
972,Drafted,4,30,18
973,Drafted,4,29,18
974,Drafted,4,20,18
975,Drafted,6,13,18
976,Drafted,4,29,18
977,Drafted,4,29,18
978,Drafted,4,30,18
979,Drafted,4,30,18
980,Drafted,8,23,18
981,Drafted,8,23,18
982,Drafted,7,31,18
983,Drafted,8,21,18
984,Drafted,8,30,18
985,Drafted,8,23,18
986,Drafted,8,21,18
987,Drafted,8,24,18
988,Drafted,6,20,18
989,Drafted,6,10,18
990,Drafted,7,31,18
991,Drafted,9,24,18
992,Drafted,7,29,18
993,Drafted,8,3,18
994,Drafted,8,22,18
995,Drafted,8,24,18
996,Drafted,9,22,18
997,Drafted,8,2,18
998,Drafted,8,3,18
999,Drafted,8,22,18
1000,Drafted,7,31,18
1001,Drafted,7,16,18
1002,Drafted,7,16,18
1003,Drafted,4,30,18
1004,Drafted,4,30,18
1005,Drafted,4,26,18
1006,Drafted,4,29,18
1007,Drafted,4,29,18
1008,Drafted,9,6,18
1009,Drafted,7,30,18
1010,Drafted,6,18,18
1011,Drafted,7,2,18
1012,Drafted,8,2,18
1013,Drafted,7,29,18
1014,Drafted,8,22,18
1015,Drafted,7,10,18
1016,Drafted,8,22,18
1017,Drafted,8,21,18
1018,Drafted,8,21,18
1019,Drafted,8,22,18
1020,Drafted,6,6,18
1021,Drafted,6,23,18
1022,Drafted,4,29,18
1023,Drafted,4,30,18
1024,Drafted,2,25,18
1025,Drafted,4,29,18
1026,Drafted,7,18,18
1027,Drafted,7,18,18
1028,Drafted,7,31,18
